Size	P1	P2	P3	P4
1000	124315.02	61142.754	131248.34	88381.17
2000	102892.1	85990.44	199222.06	105069.46
3000	135480.98	99455.94	174196.7	138275.53
4000	143247.7	83777.49	121750.8	83676.4
5000	177546.0	102162.52	132920.92	97601.4
6000	187251.16	106134.65	120021.38	98554.25
7000	218830.31	124464.42	140034.81	115938.08
8000	248007.08	144180.6	152850.45	130659.59
9000	274295.5	162712.16	167429.73	143059.94
10000	302321.8	175978.69	177420.78	159860.64
11000	342627.56	192463.69	199772.36	173626.36
12000	371727.62	201625.62	195290.98	171407.69
13000	400361.28	217673.94	211421.81	186271.27
14000	442333.72	245925.0	245333.36	207456.66
15000	474025.03	255276.05	239768.12	210228.52
16000	540470.1	291367.78	277602.1	236945.08
17000	556565.25	296085.2	277445.75	240005.78
18000	573777.2	302865.12	273115.03	247636.14
19000	587891.3	317048.84	295054.12	257753.52
20000	626157.44	338174.62	306975.2	282716.47
21000	669090.06	359546.4	321326.94	283550.0
22000	718619.06	380555.47	337099.56	293963.4
23000	768593.25	400068.3	365640.47	323558.34
24000	788460.2	408278.72	356043.28	319223.5
25000	853198.3	434663.84	371794.56	337897.25
26000	878136.9	449189.2	377314.16	348723.2
27000	908375.6	459177.25	384376.84	346585.6
28000	970450.6	483480.25	401116.3	359601.88
29000	1013432.9	498029.6	415234.9	365478.44
30000	1066173.6	515704.97	437036.12	384765.28
31000	1124929.8	545328.6	431094.2	396138.6
32000	1179880.0	573219.6	454825.2	406612.0
33000	1231255.9	587369.25	458538.56	416086.7
34000	1293088.1	602894.25	489418.0	424335.44
35000	1328445.4	617948.44	488664.12	424658.47
36000	1395465.8	641253.06	502940.44	441601.38
37000	1446105.6	659984.94	510119.8	450055.28
38000	1520888.6	688219.25	521891.56	473910.1
39000	1578361.1	703945.75	533021.94	479392.7
40000	1639041.6	738565.5	543782.5	495411.12
41000	1690785.5	744056.9	555737.75	500356.16
42000	1804591.5	781381.7	581659.06	525328.8
43000	1866466.1	846270.5	612525.3	558877.94
44000	1929520.6	860182.75	633791.8	580706.2
45000	2100740.5	932252.56	681645.75	607155.44
46000	2018871.9	876248.06	642041.06	590823.8
47000	2083880.1	901841.4	659276.8	597548.2
48000	2156622.0	933120.06	673851.75	604329.2
49000	2216008.2	947010.75	657881.8	602001.2
50000	2288080.5	965545.25	687030.25	621919.4
